iter	Passed	Remaining
0	817	817034
1	896	447493
2	982	326652
3	1061	264343
4	1140	226987
5	1223	202671
6	1303	184850
7	1382	171415
8	1468	161696
9	1560	154499
10	1638	147318
11	1718	141488
12	1802	136857
13	1877	132197
14	1952	128223
15	2030	124867
16	2129	123112
17	2204	120240
18	2270	117215
19	2348	115099
20	2422	112948
21	2518	111961
22	2592	110119
23	2671	108657
24	2753	107380
25	2825	105830
26	2901	104546
27	2988	103740
28	3069	102769
29	3149	101838330	3228	100923131	3303	99923232	3372	98823333	3449	98003434	3548	97841
35	3625	97077
36	3687	95973737	3772	95503838	3852	94933939	3932	94394040	4008	93774141	4075	929542	4148	92325
4343	4227	91854444	4305	91364545	4391	91084646	4482	90874747	4557	90394848	4640	90064949	4718	89645050	4796	89255151	4875	88895252	4955	88545353	5026	880554	5105	87719
55	5189	87485
56	5276	87290
57	5357	87009
58	5435	86688
59	5520	86490
60	5601	86228
61	5678	85917
6262	5778	859363	5853	85606
64	5931	85327
65	6012	85082
66	6096	84895
67	6173	84608
68	6251	84351
69	6343	84278
70	6424	84056
7171	6514	839772	6591	83707
73	6680	83601
7474	6774	83557575	6853	833176	6926	83023
7777	7015	829378	7090	82663
79	7172	82483
80	7261	82386
81	7352	82309
82	7434	82132
8383	7523	82048484	7607	81898585	7689	81718686	7784	81698787	7858	81448888	7936	81238989	8013	810290	8080	80715
9191	8172	80659292	8250	80469393	8332	80319494	8413	80159595	8500	80049696	8580	798797	8647	79593
9898	8743	79579999	8826	794310100	8910	793010101	8994	791810102	9077	7905103	9143	78775
104	9223	78619
10105	9321	786110106	9399	784410107	9467	781910108	9560	781410109	9637	779711110	9717	778311111	9798	7769112	9865	77438
113	9941	77262
11114	10037	772411115	10122	7713116	10195	76948
117	10273	76788
118	10352	76646
11119	10451	766412120	10530	764912121	10598	762712122	10702	763012123	10804	763212124	10888	762112125	10964	760512126	11037	758712127	11112	757012128	11204	756512129	11296	755913130	11375	75457
131	11452	75309
132	11531	751713133	11607	750113134	11685	74871
135	11766	747513136	11849	746413137	11924	744813138	12006	743713139	12084	742314140	12160	74083
141	12238	73947
142	12324	73861
143	12416	738114144	12494	736714145	12574	735514146	12650	734014147	12735	73314
148	12811	73170
149	12895	73072
150	12975	72956
151	13061	72868
152	13140	72743
153	13217	72611
154	13294	72478
155	13367	72323
156	13451	72226
157	13546	72189
158	13624	72065
159	13709	71976
160	13786	71842
161	13864	71718
162	13932	71541
163	14023	71486
164	14100	71358
165	14179	71239
166	14263	71147
167	14340	71017
168	14429	70949
169	14501	70803
170	14578	70674
171	14660	70573
172	14745	70489
173	14818	70343
174	14886	70178
175	14982	70146
176	15074	70091
177	15145	69940
178	15230	69855
179	15313	69759
180	15390	69640
181	15462	69495
182	15538	69369
183	15615	69252
184	15702	69177
185	15789	69099
186	15865	689718187	15942	688518188	16021	687418189	16098	68628
190	16174	68507
191	16256	684119192	16332	68293
193	16409	681719194	16488	680619195	16567	679619196	16644	67846
197	16725	67745
198	16811	67670
199	16885	675420200	16978	67490
201	17064	67412
202	17138	67288
203	17234	67249
204	17321	67172
205	17412	67115
206	17477	66955
207	17557	66854
208	17633	66739
209	17718	66655
210	17795	66544
211	17874	66439
212	17951	66326
213	18038	66253
214	18115	66143
215	18205	66077
216	18277	65951
217	18355	65843
218	18430	65726
219	18510	65628
220	18592	65538
221	18670	65429
222	18746	65317
223	18818	65193
224	18900	65101
225	18990	65038
226	19070	64938
227	19157	64868
228	19240	64780
229	19319	64678
230	19394	64564
231	19471	64456
232	19568	64416
233	19671	64395
234	19747	64285
235	19825	64180
236	19901	64072
237	19982	63977
238	20064	63886
239	20140	63777
240	20248	63771
241	20327	63671
242	20405	63566
243	20485	63470
244	20562	63365
245	20637	63253
246	20721	63171
247	20796	63060
248	20876	62964
249	20950	62850
250	21013	62705
251	21088	62596
252	21181	62541
253	21250	62414
254	21318	62284
255	21398	62188
256	21476	62089
257	21543	61959
258	21621	61860
259	21710	61791
260	21793	61707
261	21869	61601
262	21950	61511
263	22046	61463
264	22122	61358
265	22198	61254
266	22273	61148
267	22358	61067
268	22436	60970
269	22513	60869
270	22591	60770
271	22667	60670
272	22744	60567
273	22831	60493
274	22906	60390
275	22985	60294
276	23062	60196
277	23136	60089
278	23213	59989
279	23291	59892
280	23371	59801
281	23454	59718
282	23543	59649
283	23623	59558
284	23709	59480
285	23781	59370
286	23864	59286
287	23945	59198
288	24022	59101
289	24115	59040
290	24191	58940
291	24286	58887
292	24361	58784
293	24423	58649
294	24502	58557
295	24582	58466
296	24670	58393
297	24739	58280
298	24810	58168
299	24890	58078
300	24972	57992
301	25049	57896
302	25129	57805
303	25202	57699
304	25280	57606
305	25390	57585
306	25472	57500
307	25551	57407
308	25640	57339
309	25720	57249
310	25798	57155
311	25874	57055
312	25950	56958
313	26027	56862
314	26101	56761
315	26176	56660
316	26258	56576
317	26340	56490
318	26418	56397
319	26494	56301
320	26571	56204
321	26650	56114
322	26727	56020
323	26811	55940
324	26887	55844
325	26966	55753
326	27041	55654
327	27121	55565
328	27201	55478
329	27278	55384
330	27353	55286
331	27443	55217
332	27509	55102
333	27591	55018
334	27675	54937
335	27751	54842
336	27827	54746
337	27902	54649
338	27979	54555
339	28058	54465
340	28131	54365
341	28219	54294
342	28299	54205
343	28377	54115
344	28452	54018
345	28529	53926
346	28612	53844
347	28690	53753
348	28764	53655
349	28841	53562
350	28912	53460
351	28976	53342
352	29058	53260
353	29149	53192
354	29224	53098
355	29302	53007
356	29381	52918
357	29460	52830
358	29538	52741
359	29612	52644
360	29688	52551
361	29755	52441
362	29844	52371
363	29917	52273
364	29999	52191
365	30075	52098
366	30158	52017
367	30233	51923
368	30326	51858
369	30412	51783
370	30491	51695
371	30564	51597
372	30643	51510
373	30720	51420
374	30797	51328
375	30873	51237
376	30952	51149
377	31025	51051
378	31114	50981
379	31198	50903
380	31276	50814
381	31348	50715
382	31438	50646
383	31522	50567
384	31608	50491
385	31684	50399
386	31762	50310
387	31839	50220
388	31915	50130
389	32000	50052
390	32077	49962
391	32155	49873
392	32233	49784
393	32309	49694
394	32386	49604
395	32462	49513
396	32545	49433
397	32648	49382
398	32723	49290
399	32801	49201
400	32875	49107
401	32954	49021
402	33021	48918
403	33093	48821
404	33165	48724
405	33237	48628
406	33319	48545
407	33395	48456
408	33468	48360
409	33545	48272
410	33623	48185
411	33705	48103
412	33780	48012
413	33873	47946
414	33955	47864
415	34032	47776
416	34106	47683
417	34181	47592
418	34264	47512
419	34341	47423
420	34418	47336
421	34493	47245
422	34570	47155
423	34649	47070
424	34734	46994
425	34819	46916
426	34896	46828
427	34973	46740
428	35052	46655
429	35129	46566
430	35203	46475
431	35281	46388
432	35360	46303
433	35450	46232
434	35528	46146
435	35613	46068
436	35688	45978
437	35766	45891
438	35842	45802
439	35941	45743
440	36016	45653
441	36090	45562
442	36170	45478
443	36249	45393
444	36327	45306
445	36404	45219
446	36483	45135
447	36546	45029
448	36635	44957
449	36715	44874
450	36795	44791
451	36873	44704
452	36949	44616
453	37038	44544
454	37130	44474
455	37202	44381
456	37285	44302
457	37371	44225
458	37457	44148
459	37543	44073
460	37618	43983
461	37707	43910
462	37796	43837
463	37869	43746
464	37953	43666
465	38038	43588
466	38114	43500
467	38179	43401
468	38266	43324
469	38351	43247
470	38428	43161
471	38507	43076
472	38589	42994
473	38663	42904
474	38749	42828
475	38821	42735
476	38897	42648
477	38976	42563
478	39060	42485
479	39136	42397
480	39204	42301
481	39291	42226
482	39362	42132
483	39450	42059
484	39514	41959
485	39601	41883
486	39677	41796
487	39761	41717
488	39850	41643
489	39927	41557
490	40005	41472
491	40072	41375
492	40147	41287
493	40217	41194
494	40315	41129
495	40396	41047
496	40490	40979
497	40577	40903
498	40657	40820
499	40731	40731
500	40812	40649
501	40881	40555
502	40957	40468
503	41041	40390
504	41120	40306
505	41195	40218
506	41274	40134
507	41334	40032
508	41416	39952
509	41485	39858
510	41574	39784
511	41648	39696
512	41720	39606
513	41813	39535
514	41896	39455
515	41982	39379
516	42071	39304
517	42156	39226
518	42227	39136
519	42311	39057
520	42380	38964
521	42470	38890
522	42540	38798
523	42615	38711
524	42692	38626
525	42771	38543
526	42844	38454
527	42926	38373
528	42999	38285
529	43085	38207
530	43163	38123
531	43258	38054
532	43347	37979
533	43411	37883
534	43482	37793
535	43550	37700
536	43638	37624
537	43722	37545
538	43811	37471
539	43905	37400
540	43980	37314
541	44042	37216
542	44121	37133
543	44194	37045
544	44268	36958
545	44349	36876
546	44424	36790
547	44504	36708
548	44586	36627
549	44661	36541
550	44742	36459
551	44827	36381
552	44908	36300
553	44987	36217
554	45065	36133
555	45140	36047
556	45234	35976
557	45318	35897
558	45393	35811
559	45473	35728
560	45565	35656
561	45641	35571
562	45719	35487
563	45795	35402
564	45881	35324
565	45956	35239
566	46034	35154
567	46113	35072
568	46187	34985
569	46265	34901
570	46342	34817
571	46423	34736
572	46501	34652
573	46587	34575
574	46666	34492
575	46733	34400
576	46809	34316
577	46887	34232
578	46961	34146
579	47044	34066
580	47121	33982
581	47200	33900
582	47278	33816
583	47352	33730
584	47426	33644
585	47504	33561
586	47581	33477
587	47677	33406
588	47766	33330
589	47840	33245
590	47918	33161
591	47992	33076
592	48067	32990
593	48141	32904
594	48228	32828
595	48305	32743
596	48384	32661
597	48460	32577
598	48536	32492
599	48613	32409
600	48688	32324
601	48780	32249
602	48862	32169
603	48940	32087
604	49012	31999
605	49094	31919
606	49177	31839
607	49258	31758
608	49339	31678
609	49435	31606
610	49529	31533
611	49605	31449
612	49680	31364
613	49756	31280
614	49840	31200
615	49915	31116
616	50006	31041
617	50082	30957
618	50158	30873
619	50235	30789
620	50323	30712
621	50405	30632
622	50488	30552
623	50576	30475
624	50659	30395
625	50735	30311
626	50828	30237
627	50904	30153
628	50981	30070
629	51066	29991
630	51151	29912
631	51224	29826
632	51300	29742
633	51376	29659
634	51455	29576
635	51535	29495
636	51619	29415
637	51702	29335
638	51780	29252
639	51858	29170
640	51947	29093
641	52017	29006
642	52087	28919
643	52158	28833
644	52234	28748
645	52310	28665
646	52392	28585
647	52471	28503
648	52550	28420
649	52627	28337
650	52704	28254
651	52773	28167
652	52843	28080
653	52924	27999
654	53002	27917
655	53075	27832
656	53154	27750
657	53232	27668
658	53310	27585
659	53393	27505
660	53472	27423
661	53570	27351
662	53648	27269
663	53741	27194
664	53809	27106
665	53886	27024
666	53977	26948
667	54066	26871
668	54142	26787
669	54231	26711
670	54305	26626
671	54387	26546
672	54461	26461
673	54546	26383
674	54622	26299
675	54693	26213
676	54770	26131
677	54872	26060
678	54952	25979
679	55029	25896
680	55103	25811
681	55200	25738
682	55279	25656
683	55343	25568
684	55419	25484
685	55494	25401
686	55584	25324
687	55660	25241
688	55739	25159
689	55815	25076
690	55893	24994
691	55973	24913
692	56052	24831
693	56138	24752
694	56229	24676
695	56307	24594
696	56378	24509
697	56469	24432
698	56542	24347
699	56618	24265
700	56695	24182
701	56784	24105
702	56862	24022
703	56936	23939
704	57015	23857
705	57083	23771
706	57154	23686
707	57247	23610
708	57330	23530
709	57404	23446
710	57488	23367
711	57564	23284
712	57638	23200
713	57723	23121
714	57799	23038
715	57879	22957
716	57960	22876
717	58038	22794
718	58113	22711
719	58191	22629
720	58274	22550
721	58353	22468
722	58442	22390
723	58510	22305
724	58596	22226
725	58675	22144
726	58743	22059
727	58842	21985
728	58930	21906
729	59004	21823
730	59099	21748
731	59163	21660
732	59236	21577
733	59309	21493
734	59399	21416
735	59486	21337
736	59560	21254
737	59643	21174
738	59734	21097
739	59838	21024
740	59921	20944
741	59998	20862
742	60078	20780
743	60153	20698
744	60233	20616
745	60299	20530
746	60402	20457
747	60492	20379
748	60576	20299
749	60677	20225
750	60800	20159
751	60872	20075
752	60959	19996
753	61057	19920
754	61140	19840
755	61235	19763
756	61323	19685
757	61398	19602
758	61483	19522
759	61570	19443
760	61640	19358
761	61717	19276
762	61803	19197
763	61887	19117
764	61964	19034
765	62042	18952
766	62124	18872
767	62214	18794
768	62292	18712
769	62388	18635
770	62461	18552
771	62549	18473
772	62640	18395
773	62722	18314
774	62795	18230
775	62871	18148
776	62980	18075
777	63079	17999
778	63162	17919
779	63242	17837
780	63323	17756
781	63401	17674
782	63474	17591
783	63556	17510
784	63630	17427
785	63715	17347
786	63803	17268
787	63886	17187
788	63976	17108
789	64073	17032
790	64149	16949
791	64229	16868
792	64312	16787
793	64394	16706
794	64488	16629
795	64565	16546
796	64645	16465
797	64731	16385
798	64809	16303
799	64884	16221
800	64962	16139
801	65037	16056
802	65116	15974
803	65207	15896
804	65278	15812
805	65377	15735
806	65473	15658
807	65550	15576
808	65635	15496
809	65724	15416
810	65804	15335
811	65882	15253
812	65957	15171
813	66031	15088
814	66104	15005
815	66184	14924
816	66269	14843
817	66357	14764
818	66444	14684
819	66518	14601
820	66615	14523
821	66694	14442
822	66768	14359
823	66867	14282
824	66934	14198
825	67006	14115
826	67094	14035
827	67164	13952
828	67239	13869
829	67328	13790
830	67403	13707
831	67481	13626
832	67557	13543
833	67636	13462
834	67713	13380
835	67793	13299
836	67875	13218
837	67955	13136
838	68032	13055
839	68108	12972
840	68186	12891
841	68266	12810
842	68343	12728
843	68434	12649
844	68524	12569
845	68603	12488
846	68678	12406
847	68757	12324
848	68835	12242
849	68925	12163
850	69007	12082
851	69091	12001
852	69175	11921
853	69251	11839
854	69332	11758
855	69417	11677
856	69501	11597
857	69587	11516
858	69663	11434
859	69751	11354
860	69841	11275
861	69918	11193
862	69995	11111
863	70083	11031
864	70175	10952
865	70252	10870
866	70333	10789
867	70439	10712
868	70523	10631
869	70622	10552
870	70706	10472
871	70781	10389
872	70854	10307
873	70940	10227
874	71011	10144
875	71102	10064
876	71179	9982
877	71263	9902
878	71357	9822
879	71441	9742
880	71520	9660
881	71601	9579
882	71680	9497
883	71768	9417
884	71833	9334
885	71910	9252
886	71987	9170
887	72062	9088
888	72138	9007
889	72219	8926
890	72298	8844
891	72387	8764
892	72465	8682
893	72540	8601
894	72616	8519
895	72693	8437
896	72772	8356
897	72850	8274
898	72928	8193
899	73012	8112
900	73089	8030
901	73166	7949
902	73243	7867
903	73321	7786
904	73403	7705
905	73488	7624
906	73562	7542
907	73638	7461
908	73718	7379
909	73794	7298
910	73870	7216
911	73955	7136
912	74049	7056
913	74132	6975
914	74204	6893
915	74295	6813
916	74377	6732
917	74454	6650
918	74534	6569
919	74615	6488
920	74702	6407
921	74781	6326
922	74859	6245
923	74922	6162
924	75019	6082
925	75090	6000
926	75179	5920
927	75260	5839
928	75340	5757
929	75431	5677
930	75506	5596
931	75585	5514
932	75681	5434
933	75759	5353
934	75843	5272
935	75920	5191
936	75986	5109
937	76063	5027
938	76138	4946
939	76216	4864
940	76304	4784
941	76387	4703
942	76463	4621
943	76539	4540
944	76605	4458
945	76679	4377
946	76747	4295
947	76830	4214
948	76915	4133
949	77001	4052
950	77078	3971
951	77164	3890
952	77246	3809
953	77321	3728
954	77406	3647
955	77489	3566
956	77571	3485
957	77655	3404
958	77738	3323
959	77818	3242
960	77894	3161
961	77994	3080
962	78080	2999
963	78158	2918
964	78237	2837
965	78318	2756
966	78411	2675
967	78481	2594
968	78557	2513
969	78633	2431
970	78710	2350
971	78791	2269
972	78870	2188
973	78934	2107
974	79019	2026
975	79098	1945
976	79186	1864
977	79260	1782
978	79354	1702
979	79423	1620
980	79502	1539
981	79584	1458
982	79673	1377
983	79759	1296
984	79855	1216
985	79936	1134
986	80020	1053
987	80108	972
988	80186	891
989	80260	810
990	80348	729
991	80397	648
992	80445	567
993	80491	485
994	80534	404
995	80578	323
996	80621	242
997	80669	161
998	80718	80
999	80764	0
